doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1016/j.nme.2024.101648,In-situ observation of restoration of tungsten plate via high-temperature confocal laser scanning microscopy,Kang Wang; Jiaqin Liu; Xiang Zan; Laima Luo; Yucheng Wu,2024,6,39,,101648,101648,journal-article,,https://doi.org/10.1016/j.nme.2024.101648
10.1016/j.nme.2024.101666,Ion-irradiation effect on swelling and microstructure of BN particle dispersed liquid phase sintering SiC,Yansong Zhong; Baopu Wang; Zhirui Liu; Bo Huang; Tatsuya Hinoki,2024,6,39,,101666,101666,journal-article,,https://doi.org/10.1016/j.nme.2024.101666
10.1016/j.nme.2024.101677,Laser-induced breakdown spectroscopy for helium detection in beryllium coatings,Indrek Jõgi; Peeter Paris; Jasper Ristkok; Alicia Marin Roldán; Pavitra Ganapati Bhat; Pavel Veis; Juuso Karhunen; Salvatore Almaviva; Wojciech Gromelski; Paul Dinca; Corneliu Porosnicu; Iva Bogdanović Radović; Zdravko Siketić; Paweł Gąsior; Jari Likonen; Antti Hakola,2024,6,39,,101677,101677,journal-article,,https://doi.org/10.1016/j.nme.2024.101677
10.1016/j.nme.2024.101647,Multiscale computational study to predict the irradiation-induced change in engineering properties of fusion reactor materials,Salahudeen Mohamed; Giacomo Po; Rhydian Lewis; Perumal Nithiarasu,2024,6,39,,101647,101647,journal-article,,https://doi.org/10.1016/j.nme.2024.101647
10.1016/j.nme.2024.101630,First study of the location of deuterium in displacement-damaged tungsten by nuclear reaction analysis in channeling configuration,S. Markelj; E. Punzón-Quijorna; M. Kelemen; T. Schwarz-Selinger; R. Heller; X. Jin; F. Djurabekova; E. Lu; J. Predrag,2024,6,39,,101630,101630,journal-article,,https://doi.org/10.1016/j.nme.2024.101630
10.1016/j.nme.2024.101654,Editorial for the Special Issue on EUROFER97,Michael Rieth; Xingyi Peng; Joachim Roth,2024,6,39,,101654,101654,journal-article,,https://doi.org/10.1016/j.nme.2024.101654
10.1016/j.nme.2024.101663,"Influence of the distance of a collisional cascade to an edge dipole in <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si2.svg"" display=""inline"" id=""d1e435""><mml:mi>α</mml:mi></mml:math>-Fe on dislocation mobility and defect production",C.D. Denton; S. Heredia-Avalos; J.C. Moreno-Marín; E. Martinez; M.J. Caturla,2024,6,39,,101663,101663,journal-article,,https://doi.org/10.1016/j.nme.2024.101663
10.1016/j.nme.2024.101626,D retention in e-beam powder-bed fused (3-D printed) tungsten exposed to high-flux deuterium plasma in Pisces-RF,M.J. Baldwin; H. Zhang; A. Založnik; M.I. Patino; M.J. Simmonds; D. Nishijima; P.R. Carriere; G.R. Tynan; T. Horn,2024,6,39,,101626,101626,journal-article,,https://doi.org/10.1016/j.nme.2024.101626
10.1016/j.nme.2024.101684,First-principles study on thermal expansion of W-Re sigma and chi phases,Anders Vesti; Denis Music; Pär A.T. Olsson,2024,6,39,,101684,101684,journal-article,,https://doi.org/10.1016/j.nme.2024.101684
10.1016/j.nme.2024.101645,High temperature tensile and creep properties of the new cladding steel of 15-15Ti-Y,Yan Zhuang; Xiaoxin Zhang; Xiaodong Huang; Qingzhi Yan,2024,6,39,,101645,101645,journal-article,,https://doi.org/10.1016/j.nme.2024.101645
10.1016/j.nme.2024.101632,Exploring the impacts of Li and He impurities in a tungsten matrix: A First-Principles study,Jia-Cheng Liang; Chuan-Lu Yang; Xue-Lin Wang,2024,6,39,,101632,101632,journal-article,,https://doi.org/10.1016/j.nme.2024.101632
