doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1088/1741-4326/aacdb6,Hydrogen bubble nucleation by self-clustering: density functional theory and statistical model studies using tungsten as a model system,Jie Hou; Xiang-Shan Kong; Jingjing Sun; Yu-Wei You; Xuebang Wu; C. S. Liu; Jun Song,2018,7,58,9,096021,,journal-article,,https://doi.org/10.1088/1741-4326/aacdb6
10.1088/1741-4326/aacd1f,Growth of nano-tendril bundles on tungsten with impurity-rich He plasmas,Dogyun Hwangbo; Shin Kajita; Noriyasu Ohno; Patrick McCarthy; James W. Bradley; Hirohiko Tanaka,2018,7,58,9,096022,,journal-article,,https://doi.org/10.1088/1741-4326/aacd1f
10.1088/1741-4326/aad1a0,Aggravated blistering and increased deuterium retention in iron-damaged tungsten after exposure to deuterium plasma with various surface temperatures,Xiu-Li Zhu; Ying Zhang; Arkadi Kreter; Li-Qun Shi; Yue Yuan; Long Cheng; Christian Linsmeier; Guang-Hong Lu,2018,7,58,10,106005,,journal-article,,https://doi.org/10.1088/1741-4326/aad1a0
10.1088/1741-4326/aad2b0,Retarded recrystallization of helium-exposed tungsten,Wangguo Guo; Long Cheng; Gregory De Temmerman; Yue Yuan; Guang-Hong Lu,2018,7,58,10,106011,,journal-article,,https://doi.org/10.1088/1741-4326/aad2b0
10.1088/1741-4326/aad483,"Quartz micro-balance and <i>in situ</i> XPS study of the adsorption and decomposition of ammonia on gold, tungsten, boron, beryllium and stainless steel surfaces",M. Ben Yaala; L. Marot; R. Steiner; L. Moser; G. De Temmerman; C. Porosnicu; C.P. Lungu; M. Oberkofler; E. Meyer,2018,8,58,10,106012,,journal-article,,https://doi.org/10.1088/1741-4326/aad483
10.1088/1741-4326/aad4f3,Accumulation of beryllium and its effects on hydrogen retention in tungsten divertor,Zhihai He; H.Y. He; J.L. Chen; R. Ding; B.C. Pan,2018,8,58,10,106015,,journal-article,,https://doi.org/10.1088/1741-4326/aad4f3
10.1088/1741-4326/aad4c9,Measurement and modeling of aluminum sputtering and ionization in the DIII-D divertor including magnetic pre-sheath effects,C.P. Chrobak; P.C. Stangeby; E. Hollmann; D.L. Rudakov; T. Abrams; R. Ding; J.D. Elder; J. Guterl; E. Hinson; H.Y. Guo; D.M. Thomas; C.H. Skinner; A.G. McLean; W.R. Wampler; D.A. Buchenauer; R.P. Doerner; G.R. Tynan,2018,8,58,10,106019,,journal-article,,https://doi.org/10.1088/1741-4326/aad4c9
10.1088/1741-4326/aad921,Effect of exposure temperature on deuterium retention and surface blistering of tungsten exposed to sequential nitrogen and deuterium plasma,Shaoyang Qin; Liang Gao; Long Cheng; Yue Yuan; Wolfgang Jacob; Guang-Hong Lu; Jinliang Wang,2018,8,58,10,106027,,journal-article,,https://doi.org/10.1088/1741-4326/aad921
10.1088/1741-4326/aad83e,An improved model for the accurate calculation of parallel heat fluxes at the JET bulk tungsten outer divertor,D. Iglesias; P. Bunting; J.W. Coenen; G.F. Matthews; R.A. Pitts; S. Silburn; I. Balboa; I. Coffey; Y. Corre; R. Dejarnac; J. Gaspar; E. Gauthier; S. Jachmich; K. Krieger; S. Pamela; V. Riccardo; M. Stamp,2018,8,58,10,106034,,journal-article,,https://doi.org/10.1088/1741-4326/aad83e
10.1088/1741-4326/aadd1d,Efficient hydrogen and deuterium permeation reduction in Al<sub>2</sub>O<sub>3</sub> coatings with enhanced radiation tolerance and corrosion resistance,D. Iadicicco; S. Bassini; M. Vanazzi; P. Muñoz; A. Moroño; T. Hernandez; I. García-Cortés; F.J. Sánchez; M. Utili; F. García Ferré; F. Di Fonzo,2018,9,58,12,126007,,journal-article,,https://doi.org/10.1088/1741-4326/aadd1d
