doi,title,authors,date,url,article_type,open_access,description,source,volume,issue,section
10.1126/sciadv.adw0500,Supramolecular hydrogel actuators with reprogrammable magnetic orientation by locally mediated viscoelasticity and pinning force,Chuan Wei Zhang; Xing Peng Hao; Weifeng Zou; Zhixin Zhu; Jia Yu Hu; Li Xin Hou; Si Rui Xu; Zhen Luo (+8 more),2025-06-27,https://doi.org/10.1126/sciadv.adw0500,journal-article,,"
            Magnetic soft actuators with reprogrammable deformations have gained substantial attention due to their adaptability for various applications. However, achieving precise and local reorientation of magnetic particles remains challenging. Here, we present a strategy to locally tailor the viscoelasticity of magnetic supramolecular hydrogels, facilitate reorientation of the embedded magnetic particles, and enable reprogrammable magnetoactuated deformation and locomotion of the composite gels. The magnetic hydrogels are facilely prepared by mixing neodymium-iron-boron particles with an",Science Advances,11,26,
10.1038/s41467-025-60346-8,Overcoming the trade-off between conductivity and strength in copper alloys through undercooling,Bowen Zhang; Pingda Xu; Fuping Dai,2025-05-29,https://www.nature.com/articles/s41467-025-60346-8,,Yes,"Copper alloys with high strength and conductivity are essential for modern industries. Here, the authors find an approach to enhance the conductivity of Cu-Be alloys by inducing spherical Be-rich clusters through deep undercooling.",Nature Communications,,,
10.1038/s41467-025-59720-3,Large thermoelastic effect in martensitic phase of ferroelastic alloys for high efficiency heat pumping,Qiao Li; Zhongzheng Deng; Qingping Sun,2025-05-15,https://www.nature.com/articles/s41467-025-59720-3,,Yes,"The authors discover a large caloric effect generated by pure elastic deformation in martensitic alloys, offering a strategy for ecofriendly and energy-efficient heat pumping.",Nature Communications,,,
10.1126/sciadv.ads0724,Ferroelectric tunnel junctions integrated on semiconductors with enhanced fatigue resistance,Ningchong Zheng; Jiayi Li; Haoying Sun; Yipeng Zang; Peijie Jiao; Cong Shen; Xingyu Jiang; Yidong Xia (+4 more),2025-04-11,https://doi.org/10.1126/sciadv.ads0724,journal-article,,"
            Oxide-based ferroelectric tunnel junctions (FTJs) show promise for nonvolatile memory and neuromorphic applications, making their integration with existing semiconductor technologies highly desirable. Furthermore, resistance fatigue in current silicon-based integration remains a critical issue. Understanding this fatigue mechanism in semiconductor-integrated FTJ is essential yet unresolved. Here, we systematically investigate the fatigue performance of ultrathin bismuth ferrite BiFeO
            3
            (BFO)–based FTJs integrated with various semiconductors. Notably, the BF",Science Advances,11,15,
10.1038/s41467-025-58042-8,A multi-scale microstructure to address the strength-ductility trade off in high strength steel for fusion reactors,Peng Gong; T.W.J. Kwok; W. Mark Rainforth,2025-03-20,https://www.nature.com/articles/s41467-025-58042-8,,Yes,"Reduced-activation ferritic-martensitic (RAFM) steels are promising fusion reactor materials having high radiation tolerance and low post-use radioactivity, but achieving high strength, ductility and toughness is difficult. The authors demonstrate a modified thermomechanical process to produce RAFM steel with a multiscale microstructure which endows both high strength and high ductility.",Nature Communications,,,
10.1126/sciadv.adt8262,Stretchable [2]rotaxane-bridged MXene films applicable for electroluminescent devices,Chunyu Wang; Boyue Gao; Kai Xue; Wenbin Wang; Jun Zhao; Ruixue Bai; Tinghao Yun; Zhiwei Fan (+4 more),2025-03-07,https://doi.org/10.1126/sciadv.adt8262,journal-article,,"
            Titanium carbide (Ti
            3
            C
            2
            T
            
              X
            
            ) MXene has prominent mechanical properties and electrical conductivity. However, fabricating high-performance macroscopic films is challenging, as weak interlayer interactions limit their mechanical performance. Here, we introduce [2]rotaxane, a mechanically interlocked molecule, to enhance MXene films. Compared to pure MXene (fracture strain: 4.6%, toughness: 0.6 MJ/m
            3
            ), [2]rotaxane-bridged MXene (RBM) films achieve record-h",Science Advances,11,10,
10.1038/s41467-025-56267-1,Active learning framework to optimize process parameters for additive-manufactured Ti-6Al-4V with high strength and ductility,Jeong Ah Lee; Jaejung Park; Hyoung Seop Kim,2025-01-22,https://www.nature.com/articles/s41467-025-56267-1,,Yes,"Process and heat treatment parameters are critical in laser powder bed fusion but difficult to optimize. Here, the authors achieve high tensile strengths and elongation in Ti-6Al-4V alloys using Pareto active learning with few experimental trials.",Nature Communications,,,
10.1126/sciadv.ads0071,Theory of giant magnetoelastic effect in soft systems,Yihao Zhou; Guorui Chen; Xun Zhao; Trinny Tat; Zhaoqi Duan; Jun Chen,2025-01-03,https://doi.org/10.1126/sciadv.ads0071,journal-article,,"Having been predominantly observed in rigid metal and metal alloys since 1865, the magnetoelastic effect was recently experimentally discovered in a soft matter system and used as a new working mechanism for energy and health care applications. Here, a theoretical framework is presented and proven to be universally accurate and robust in interpreting the giant magnetoelastic effect across soft systems subjected to various deformation modes, micromagnet concentrations, magnetization profiles, and geometric structures. The theory uncovers substantial, unique magnetoelastic phenomena in soft syst",Science Advances,11,1,
10.1126/sciadv.adr4697,Determinants of vacancy formation and migration in high-entropy alloys,Zhiling Luo; Wang Gao; Qing Jiang,2025-01-03,https://doi.org/10.1126/sciadv.adr4697,journal-article,,"
            Vacancies are crucial for the radiation resistance, strength, and ductility of high-entropy alloys (HEAs). However, complex electronic interactions resulting from chemical disorder prohibit the quantification of vacancy formation energy (
            E
            f
            ) and migration barriers (
            E
            b
            ). Herein, we propose an electronic descriptor χ
            S
            v
            (electronegativity χ and valence-electron number
            S
            v
            ) to quantify the bonding strength of constituents on the basis",Science Advances,11,1,
10.1126/sciadv.adr4292,Enhancing cathode composites with conductive alignment synergy for solid-state batteries,Zhang Cao; Xinxin Yao; Soyeon Park; Kaiyue Deng; Chunyan Zhang; Lei Chen; Kelvin Fu,2025-01-03,https://doi.org/10.1126/sciadv.adr4292,journal-article,,"Enhancing transport and chemomechanical properties in cathode composites is crucial for the performance of solid-state batteries. Our study introduces the filler-aligned structured thick (FAST) electrode, which notably improves mechanical strength and ionic/electronic conductivity in solid composite cathodes. The FAST electrode incorporates vertically aligned nanoconducting carbon nanotubes within an ion-conducting polymer electrolyte, creating a low-tortuosity electron/ion transport path while strengthening the electrode’s structure. This design not only mitigates recrystallization of the pol",Science Advances,11,1,
