doi,title,authors,date,url,article_type,open_access,description,source,volume,issue,section
10.1038/s41467-021-27591-z,Visualization and validation of twin nucleation and early-stage growth in magnesium,Lin Jiang; Mingyu Gong; Julie M. Schoenung,2022-01-10,https://www.nature.com/articles/s41467-021-27591-z,,Yes,"The origins of deformation twins in Mg have remained unclear in the past. Here the authors, by combining in situ experimental observations and atomistic simulations, capture the rapid twinning phenomena in Mg crystals and show that twinning occurs through pure atomic shuffle.",Nature Communications,,,
10.1126/sciadv.abh2716,Atomic-scale fatigue mechanism of ferroelectric tunnel junctions,Yihao Yang; Ming Wu; Xingwen Zheng; Chunyan Zheng; Jibo Xu; Zhiyu Xu; Xiaofei Li; Xiaojie Lou (+4 more),2021-11-26,https://doi.org/10.1126/sciadv.abh2716,journal-article,,Role of charged defects in resistance fatigue of ferroelectric tunnel junctions has been revealed at atomic scale.,Science Advances,7,48,
10.1038/s41467-021-26374-w,Elimination of oxygen sensitivity in α-titanium by substitutional alloying with Al,Yan Chong; Ruopeng Zhang; Andrew M. Minor,2021-10-25,https://www.nature.com/articles/s41467-021-26374-w,,Yes,"Individual addition of O or Al is known to deteriorate ductility of Ti alloys, especially at cryogenic temperatures. Here the authors demonstrate a counter-intuitive effect where significant addition of both Al and O substantially improves both strength and ductility in a Ti-6Al-0.3 O ternary alloy.",Nature Communications,,,
10.1038/s41467-021-25264-5,Simultaneously enhancing the ultimate strength and ductility of high-entropy alloys via short-range ordering,Shuai Chen; Zachary H. Aitken; Yong-Wei Zhang,2021-08-16,https://www.nature.com/articles/s41467-021-25264-5,,Yes,"The strength-ductility trade-off has been a long-standing problem for alloy development. Here the authors present a route for designing high-entropy alloys to overcome this trade-off via short-range ordering shown by combined Monte Carlo, molecular dynamic, and density-functional theory simulations.",Nature Communications,,,
10.1126/sciadv.abc8288,High-strength nanocrystalline intermetallics with room temperature deformability enabled by nanometer thick grain boundaries,Ruizhe Su; Dajla Neffati; Jaehun Cho; Zhongxia Shang; Yifan Zhang; Jie Ding; Qiang Li; Sichuang Xue (+3 more),2021-07-02,https://doi.org/10.1126/sciadv.abc8288,journal-article,,Nanometer thick grain boundaries enable room temperature deformability in conventional brittle intermetallics.,Science Advances,7,27,
10.1038/s41467-021-23689-6,Enhancing fatigue life by ductile-transformable multicomponent B2 precipitates in a high-entropy alloy,Rui Feng; You Rao; Peter. K. Liaw,2021-06-11,https://www.nature.com/articles/s41467-021-23689-6,,Yes,"A fundamental understanding of fatigue-failure mechanisms is key to develop robust structural materials. Here the authors report a high entropy alloy with enhanced fatigue life by ductile transformable multicomponent B2 precipitates, as revealed by combined experimental and simulation methods.",Nature Communications,,,
10.1126/sciadv.abf3039,Ultrahigh specific strength in a magnesium alloy strengthened by spinodal decomposition,Tongzheng Xin; Yuhong Zhao; Reza Mahjoub; Jiaxi Jiang; Apurv Yadav; Keita Nomoto; Ranming Niu; Song Tang (+11 more),2021-06-04,https://doi.org/10.1126/sciadv.abf3039,journal-article,,Spinodal decomposition is discovered to be an effective way to strengthen magnesium alloy.,Science Advances,7,23,
10.1126/sciadv.abe3105,Deformation-induced crystalline-to-amorphous phase transformation in a CrMnFeCoNi high-entropy alloy,Hao Wang; Dengke Chen; Xianghai An; Yin Zhang; Shijie Sun; Yanzhong Tian; Zhefeng Zhang; Anguo Wang (+5 more),2021-04-02,https://doi.org/10.1126/sciadv.abe3105,journal-article,,In situ TEM experiments reveal the crystalline-to-amorphous phase transformation in an ultrafine-grained Cantor alloy.,Science Advances,7,14,
10.1126/sciadv.abb3108,Amorphization in extreme deformation of the CrMnFeCoNi high-entropy alloy,Shiteng Zhao; Zezhou Li; Chaoyi Zhu; Wen Yang; Zhouran Zhang; David E. J. Armstrong; Patrick S. Grant; Robert O. Ritchie (+1 more),2021-01-29,https://doi.org/10.1126/sciadv.abb3108,journal-article,,Extreme deformation of high-entropy alloys increases toughness by converting crystalline structures to amorphous zones.,Science Advances,7,5,
10.1038/s41467-020-20574-6,Mechanisms for &lt;100&gt; interstitial dislocation loops to diffuse in BCC iron,N. Gao; Z. W. Yao; F. Gao,2021-01-11,https://www.nature.com/articles/s41467-020-20574-6,,Yes,The mobility of dislocation loops in materials is of key importance to understanding their deformation behavior. Here the authors using self-adaptive accelerated molecular dynamics show self-diffusion of &lt;100&gt; interstitial loops in body-centered cubic (BCC) iron by changing its habit plane as also confirmed by transmission electron microscopy (TEM) measurements.,Nature Communications,,,
10.1038/s41467-020-19071-7,Training high-strength aluminum alloys to withstand fatigue,Qi Zhang; Yuman Zhu; Christopher Hutchinson,2020-10-15,https://www.nature.com/articles/s41467-020-19071-7,,Yes,"The fatigue performance of high strength aluminum alloys is notoriously poor, leading to design limitations for transportation structures. Here the authors design microstructures to exploit the mechanical energy of fatigue to dynamically heal the microstructural weak points and improve the high cycle fatigue life.",Nature Communications,,,
10.1038/s41467-020-18774-1,Repulsion leads to coupled dislocation motion and extended work hardening in bcc metals,K. Srivastava; D. Weygand; P. Gumbsch,2020-10-09,https://www.nature.com/articles/s41467-020-18774-1,,Yes,"Work hardening of tungsten in the thermally activated regime is highly orientation dependent. Here, we show that kink-pair nucleation controlled coupled motion of repulsively oriented screw dislocation pairs occurs and leads to an orientation dependent additional plastic slip on unexpected slip systems.",Nature Communications,,,
10.1126/sciadv.abc7350,Propagating bands of plastic deformation in a metal alloy as critical avalanches,Tero Mäkinen; Pasi Karppinen; Markus Ovaska; Lasse Laurson; Mikko J. Alava,2020-10-09,https://doi.org/10.1126/sciadv.abc7350,journal-article,,Portevin–Le Chatelier deformation bands obey predictions of a simple mean-field model of critical avalanche dynamics.,Science Advances,6,41,
10.1038/s41467-020-18775-0,A defect-resistant Co–Ni superalloy for 3D printing,Sean P. Murray; Kira M. Pusch; Tresa M. Pollock,2020-10-02,https://www.nature.com/articles/s41467-020-18775-0,,Yes,"Additive manufacturing promises a major transformation of the production of high economic value metallic materials. Here, the authors describe a new class of 3D printable superalloys that are amenable to crack-free 3D printing via electron beam melting as well as selective laser melting.",Nature Communications,,,
10.1126/sciadv.aba8169,Ultrastrong low-carbon nanosteel produced by heterostructure and interstitial mediated warm rolling,Bo Gao; Qingquan Lai; Yang Cao; Rong Hu; Lirong Xiao; Zhiyi Pan; Ningning Liang; Yusheng Li (+5 more),2020-09-25,https://doi.org/10.1126/sciadv.aba8169,journal-article,,We break the limit of grain refinement and strength of low-carbon steel by tuning deformation compatibility of heterostructure.,Science Advances,6,39,
10.1126/sciadv.aaz4748,Temperature dependence of elastic and plastic deformation behavior of a refractory high-entropy alloy,Chanho Lee; George Kim; Yi Chou; Brianna L. Musicó; Michael C. Gao; Ke An; Gian Song; Yi-Chia Chou (+3 more),2020-09-11,https://doi.org/10.1126/sciadv.aaz4748,journal-article,,The present work discovers the unique deformation behavior of a refractory high-entropy alloy at elevated temperatures.,Science Advances,6,37,
10.1038/s41467-020-16601-1,Ultrahigh high-strain-rate superplasticity in a nanostructured high-entropy alloy,Nhung Thi-Cam Nguyen; Peyman Asghari-Rad; Hyoung Seop Kim,2020-06-01,https://www.nature.com/articles/s41467-020-16601-1,,Yes,"Superplasticity at high strain rates is challenging to achieve in high strength materials. Here, the authors show superplastic elongation in excess of 2000% in a high entropy alloy nanostructured by high-pressure torsion.",Nature Communications,,,
10.1038/s41467-020-16349-8,Unstable twin in body-centered cubic tungsten nanocrystals,Xiang Wang; Jiangwei Wang; Scott X. Mao,2020-05-19,https://www.nature.com/articles/s41467-020-16349-8,,Yes,"Body-centred cubic metals rarely show twinning during deformation. Here, the authors use high resolution transmission electron microscopy to show tungsten, a body-centred cubic metal, spontaneously undergoes detwinning when unloaded.",Nature Communications,,,
10.1126/sciadv.aba5581,"3D printed Mg-NiTi interpenetrating-phase composites with high strength, damping capacity, and energy absorption efficiency",Mingyang Zhang; Qin Yu; Zengqian Liu; Jian Zhang; Guoqi Tan; Da Jiao; Wenjun Zhu; Shujun Li (+3 more),2020-05-08,https://doi.org/10.1126/sciadv.aba5581,journal-article,,"A 3D printed magnesium alloy with an interpenetrating NiTi phase shows remarkable strength, damping, and self-healing properties.",Science Advances,6,19,
10.1038/s41467-020-15772-1,High temperature rise dominated cracking mechanisms in ultra-ductile and tough titanium alloy,L. Choisez; L. Ding; P. J. Jacques,2020-04-30,https://www.nature.com/articles/s41467-020-15772-1,,Yes,"Specific titanium alloys combine transformation-induced plasticity and twinning-induced plasticity for improved work hardening. Here, the authors show that these alloys also have an ultra-large fracture resistance and an unexpected fracture mechanism via dynamic recrystallization and local melting in a deformation band.",Nature Communications,,,
10.1126/sciadv.aax4002,Cooperative deformation in high-entropy alloys at ultralow temperatures,Muhammad Naeem; Haiyan He; Fan Zhang; Hailong Huang; Stefanus Harjo; Takuro Kawasaki; Bing Wang; Si Lan (+7 more),2020-03-27,https://doi.org/10.1126/sciadv.aax4002,journal-article,,In situ neutron diffraction revealed a unique deformation pathway in high-entropy alloys with unusually large ductility at 15 K.,Science Advances,6,13,
10.1038/s41467-020-15085-3,Simulating the mechanisms of serrated flow in interstitial alloys with atomic resolution over diffusive timescales,Yue Zhao; Lucile Dezerald; Jaime Marian,2020-03-06,https://www.nature.com/articles/s41467-020-15085-3,,Yes,Understanding the plastic deformation mechanism within specific ranges of temperature and strain in metal alloys is of great technological importance. Here the authors report on&#xa0;dynamic simulations of dislocation–solute coevolution in tungsten crystals containing a few atomic parts per million of interstitial oxygen&#xa0;and their relation to unstable plastic flow.,Nature Communications,,,
10.1038/s41467-020-14641-1,Real-time observations of TRIP-induced ultrahigh strain hardening in a dual-phase CrMnFeCoNi high-entropy alloy,Sijing Chen; Hyun Seok Oh; Qian Yu,2020-02-11,https://www.nature.com/articles/s41467-020-14641-1,,Yes,"In dual-phase Cantor-like high entropy alloys, how local chemistry affects enhanced deformation mechanisms remains unclear. Here, the authors image 3D stacking fault networks formation and show they both impede dislocations and facilitate phase transformations via local chemical composition variations.",Nature Communications,,,
10.1038/s41467-019-14062-9,Unveiling the Re effect in Ni-based single crystal superalloys,Xiaoxiang Wu; Surendra Kumar Makineni; Baptiste Gault,2020-01-20,https://www.nature.com/articles/s41467-019-14062-9,,Yes,"Adding minute amounts of rhenium to Ni-based single crystal superalloys extends their high temperature performance in engines, but the reasons behind that are still unclear. Here, the authors combine high resolution imaging and modelling to show that rhenium enriches and slows down partial dislocations to improve creep performance.",Nature Communications,,,
10.1038/s41467-019-13311-1,Tailoring heterogeneities in high-entropy alloys to promote strength–ductility synergy,Evan Ma; Xiaolei Wu,2019-12-09,https://www.nature.com/articles/s41467-019-13311-1,,Yes,"High entropy alloys are a departure from conventional alloy design. In this review, the authors examine how combinations of hetererogeneities specific to high entropy alloys can overcome the strength–ductility trade-off inherent to traditional alloys.",Nature Communications,,,
10.1126/sciadv.aax2799,Direct imaging of short-range order and its impact on deformation in Ti-6Al,Ruopeng Zhang; Shiteng Zhao; Colin Ophus; Yu Deng; Shraddha J. Vachhani; Burak Ozdol; Rachel Traylor; Karen C. Bustillo (+4 more),2019-12-06,https://doi.org/10.1126/sciadv.aax2799,journal-article,,The domain structure of short-range order is directly observed in an aged Ti-6Al alloy.,Science Advances,5,12,
10.1038/s41467-019-13087-4,Hierarchical nanostructured aluminum alloy with ultrahigh strength and large plasticity,Ge Wu; Chang Liu; Jian Lu,2019-11-08,https://www.nature.com/articles/s41467-019-13087-4,,Yes,"Strengthening a metallic alloy without sacrificing ductility remains challenging. Here, the authors develop a hierarchical nanostructured aluminium alloy composed of nanograins surrounding by metallic glass shells that has both ultrahigh strength and good ductility.",Nature Communications,,,
10.1038/s41467-019-12047-2,Aluminum with dispersed nanoparticles by laser additive manufacturing,Ting-Chiang Lin; Chezheng Cao; Xiaochun Li,2019-09-11,https://www.nature.com/articles/s41467-019-12047-2,,Yes,"Incorporating and dispersing dense nanoparticles into metals remains a challenge. Here, the authors use nanocomposite powders containing very dense nanoparticles to print an aluminium nanocomposite with one of&#xa0;the highest specific modulus and yield strength among all structural materials.",Nature Communications,,,
10.1038/s41467-019-11505-1,Plasticity without dislocations in a polycrystalline intermetallic,Hubin Luo; Hongwei Sheng; Izabela Szlufarska,2019-08-09,https://www.nature.com/articles/s41467-019-11505-1,,Yes,"The deformation of materials depends on dislocation activity, and suppressing dislocations should lead to brittleness. Here, the authors combine simulations and experiments to show a samarium-cobalt intermetallic can exhibit plasticity without dislocations.",Nature Communications,,,
10.1038/s41467-019-10573-7,Three-dimensional character of the deformation twin in magnesium,Y. Liu; P. Z. Tang; C. N. Tomé,2019-07-25,https://www.nature.com/articles/s41467-019-10573-7,,Yes,"Imaging deformation twins in three dimensions is difficult and they are usually viewed as two-dimensional ellipsoids. Here, the authors statistically analyze more than two hundred deformation twins in magnesium observed in three different views and show lateral twin expansion is faster than forward propagation.",Nature Communications,,,
10.1038/s41467-019-10533-1,Materials informatics for the screening of multi-principal elements and high-entropy alloys,J. M. Rickman; H. M. Chan; G. Balasubramanian,2019-06-13,https://www.nature.com/articles/s41467-019-10533-1,,Yes,"The identification of high entropy alloys is challenging given the vastness of the compositional space associated with these systems. Here the authors propose a supervised learning strategy for the efficient screening of high entropy alloys, whose hardness predictions are validated by experiments.",Nature Communications,,,
10.1038/s41467-019-10308-8,Promoting abnormal grain growth in Fe-based shape memory alloys through compositional adjustments,M. Vollmer; T. Arold; T. Niendorf,2019-05-28,https://www.nature.com/articles/s41467-019-10308-8,,Yes,"Novel iron-based shape memory alloys could be candidates for large-scale structural applications if their grains grew large and long enough. Here, the authors add titanium to an Fe–Mn–Al–Ni shape-memory alloy to promote large grains via compositional tuning of abnormal grain growth.",Nature Communications,,,
10.1038/s41467-019-09360-1,Scale law of complex deformation transitions of nanotwins in stainless steel,A. Y. Chen; L. L. Zhu; J. Lu,2019-03-29,https://www.nature.com/articles/s41467-019-09360-1,,Yes,The deformation mechanisms of twin boundaries in nanotwinned metallic materials are still unclear. Here the authors combine in situ transmission electron microscopy tensile tests and molecular dynamics&#xa0;simulations with a dislocation-based theoretical model to reveal the deformation mechanism of nanotwins.,Nature Communications,,,
10.1038/s41467-019-08460-2,Enhanced strength–ductility synergy in ultrafine-grained eutectic high-entropy alloys by inheriting microstructural lamellae,Peijian Shi; Weili Ren; Peter K. Liaw,2019-01-30,https://www.nature.com/articles/s41467-019-08460-2,,Yes,"Producing in situ composite materials with superior strength and ductility has long been a challenge. Here, the authors use lamellar microstructure inherited from casting, rolling, and annealing to produce an ultrafine duplex eutectic high entropy alloy with outstanding properties.",Nature Communications,,,
10.1038/s41467-018-07989-y,Nanoparticle-enabled phase control for arc welding of unweldable aluminum alloy 7075,Maximilian Sokoluk; Chezheng Cao; Xiaochun Li,2019-01-09,https://www.nature.com/articles/s41467-018-07989-y,,Yes,"In contrast to steels, fusion welding high strength aluminum alloys such as AA7075 is notoriously difficult. Here, the authors add nanoparticles to a weld filler&#xa0;rod to successfully weld AA7075 without hot cracks or loss of strength at the weld.",Nature Communications,,,
10.1038/s41467-018-07160-7,High-entropy high-hardness metal carbides discovered by entropy descriptors,Pranab Sarker; Tyler Harrington; Stefano Curtarolo,2018-11-26,https://www.nature.com/articles/s41467-018-07160-7,,Yes,"The overwhelming number of possible high-entropy materials represents a big challenge for predicting their existence. Here, the authors introduce an entropy-forming-ability descriptor capturing the synthesizability of these systems, and apply the model to the discovery of new refractory metal carbides.",Nature Communications,,,
10.1038/s41467-018-07028-w,Deformation twinning and grain partitioning in a hexagonal close-packed magnesium alloy,M. Arul Kumar; B. Clausen; C. N. Tomé,2018-11-12,https://www.nature.com/articles/s41467-018-07028-w,,Yes,"Magnesium deforms via twins that form in a grain then expand both forward and laterally, causing local stresses that have yet to be measured. Here, the authors measure the full strain and stress tensors around a twin in a bulk polycrystal and show that the twinning grain deforms heterogeneously.",Nature Communications,,,
10.1038/s41467-018-06600-8,High-content ductile coherent nanoprecipitates achieve ultrastrong high-entropy alloys,Yao-Jian Liang; Linjing Wang; Hongnian Cai,2018-10-03,https://www.nature.com/articles/s41467-018-06600-8,,Yes,"High entropy alloys usually emphasize equiatomic compositions, which restrict the compositions available to induce strengthening via precipitation. Here the authors use spinodal decomposition in a five-element alloy to obtain high content nanophases and the highest tensile strength reported to date.",Nature Communications,,,
10.1038/s41467-018-06166-5,Three-dimensional X-ray diffraction imaging of dislocations in polycrystalline metals under tensile loading,Mathew J. Cherukara; Reeju Pokharel; Richard L. Sandberg,2018-09-17,https://www.nature.com/articles/s41467-018-06166-5,,Yes,"Identifying atomic defects during deformation is crucial to understand material response but remains challenging in three dimensions. Here, the authors couple X-ray Bragg coherent diffraction imaging and atomistic simulations to correlate a strain field to a screw dislocation in a single copper grain.",Nature Communications,,,
10.1038/s41467-018-05549-y,Crystallographic character of grain boundaries resistant to hydrogen-assisted fracture in Ni-base alloy 725,John P. Hanson; Akbar Bagri; Michael J. Demkowicz,2018-08-23,https://www.nature.com/articles/s41467-018-05549-y,,Yes,"Exactly how hydrogen renders metals brittle is still unclear, and it remains a challenge to predict component failure due to hydrogen embrittlement. Here, the authors identify a class of grain boundaries in a nickel superalloy that deflects propagating cracks and improves alloy resistance to hydrogen.",Nature Communications,,,
10.1038/s41467-018-04981-4,Designing a magnesium alloy with high strength and high formability,T. T. T. Trang; J. H. Zhang; N. J. Kim,2018-06-28,https://www.nature.com/articles/s41467-018-04981-4,,Yes,"Despite being the lightest structural alloys, obtaining magnesium alloys with both high strength and high formability remains a challenge. Here, the authors use precipitation and elemental segregation to design a magnesium alloy with high strength and high formability.",Nature Communications,,,
10.1038/s41467-018-04780-x,Twinning in metastable high-entropy alloys,Shuo Huang; He Huang; Levente Vitos,2018-06-18,https://www.nature.com/articles/s41467-018-04780-x,,Yes,"Twinning has been experimentally seen in high-entropy alloys, but understanding how it operates remains a challenge. Here, the authors show that twinning can be a primary deformation mechanism in three well-known medium- and high-entropy alloys that have unstable face-centered cubic lattices.",Nature Communications,,,
10.1038/s41467-018-04473-5,Absence of dynamic strain aging in an additively manufactured nickel-base superalloy,Allison M. Beese; Zhuqing Wang; Dong Ma,2018-05-25,https://www.nature.com/articles/s41467-018-04473-5,,Yes,"Detrimental serrated plastic flow via dynamic strain aging (DSA) in conventionally processed nickel superalloys usually occurs during high temperature deformation. Here, the authors suppress DSA via a unique microstructure obtained using additive manufacturing and propose a new dislocation-arrest model in nickel superalloys.",Nature Communications,,,
10.1038/s41467-018-03875-9,A high-strength silicide&#xa0;phase in a stainless steel alloy designed for wear-resistant applications,D. Bowden; Y. Krysiak; M. Preuss,2018-04-10,https://www.nature.com/articles/s41467-018-03875-9,,Yes,"Wear- and corrosion-resistant hardfacing steels rely on carbon for strengthening. Here, the authors report an ultra-high strength silicide phase that could lead to a new class of silicide-strengthened stainless steels and alternative coatings for nuclear applications.",Nature Communications,,,
10.1038/s41467-018-02943-4,Extreme rejuvenation and softening in a bulk metallic glass,J. Pan; Y. X. Wang; Y.  Li,2018-02-08,https://www.nature.com/articles/s41467-018-02943-4,,Yes,"Deforming metallic glasses can rejuvenate them to higher energy states, but only in the shear bands where deformation is usually concentrated. Here, the authors use a notched setup to suppress shear banding and promote significant bulk softening of a zirconium-based metallic glass.",Nature Communications,,,
10.1038/s41467-017-02112-z,Exceptional increase in the creep life of magnesium rare-earth alloys due to localized bond stiffening,Deep Choudhuri; Srivilliputhur G. Srinivasan; Rajarshi Banerjee,2017-12-08,https://www.nature.com/articles/s41467-017-02112-z,,Yes,"Adding very small amounts of zinc to magnesium alloys containing rare earth elements dramatically improves their creep life. Here, the authors use first principles calculations and atomic-scale characterization to show that this is due to stiff covalent bonding of zinc and rare earth elements such as neodymium.",Nature Communications,,,
10.1038/s41467-017-01729-4,High-velocity projectile impact induced 9R phase in ultrafine-grained aluminium,Sichuang Xue; Zhe Fan; Xinghang Zhang,2017-11-21,https://www.nature.com/articles/s41467-017-01729-4,,Yes,"Deformation-induced defects with high formation energy are difficult to nucleate in aluminium. Here, the authors use a miniaturized projectile impact to nucleate the high stacking fault energy 9R phase in a thin film of ultrafine-grained aluminium, and show sessile Frank loops stabilize it.",Nature Communications,,,
