doi,title,authors,year,month,volume,issue,page,article_number,type,subject,url
10.1016/j.fusengdes.2015.01.003,Fabrication of W–1 wt.% TiC composites by spark plasma sintering,Xiao-Yu Ding; Lai-Ma Luo; Hong-Yu Chen; Guang-Nan Luo; Xiao-Yong Zhu; Xiang Zan; Ji-Gui Cheng; Yu-Cheng Wu,2015,3,92,,29-34,,journal-article,,https://doi.org/10.1016/j.fusengdes.2015.01.003
10.1016/j.fusengdes.2015.01.010,Measurement of leakage neutron spectra for Tungsten with D-T neutrons and validation of evaluated nuclear data,S. Zhang; Z. Chen; Y. Nie; R. Wada; X. Ruan; R. Han; X. Liu; W. Lin; J. Liu; F. Shi; P. Ren; G. Tian; F. Luo; J. Ren; J. Bao,2015,3,92,,41-45,,journal-article,,https://doi.org/10.1016/j.fusengdes.2015.01.010
10.1016/j.fusengdes.2015.02.001,Early stage damage of ultrafine-grained tungsten materials exposed to low energy helium ion irradiation,O. El-Atwani; S. Gonderman; S. Suslov; M. Efe; G. De Temmerman; T. Morgan; K. Bystrov; K. Hattar; J.P. Allain,2015,4,93,,9-14,,journal-article,,https://doi.org/10.1016/j.fusengdes.2015.02.001
10.1016/j.fusengdes.2015.02.018,Investigation of microstructure and mechanical properties of explosively welded ITER-grade 316L(N)/CuCrZr hollow structural member,Rui Ma; Yaohua Wang; Jihong Wu; Mianjun Duan,2015,4,93,,43-50,,journal-article,,https://doi.org/10.1016/j.fusengdes.2015.02.018
10.1016/j.fusengdes.2015.02.010,Conceptual design and structural analysis of the CFETR cryostat,Zhen Wang; Qingxi Yang; Hao Xu,2015,4,93,,19-23,,journal-article,,https://doi.org/10.1016/j.fusengdes.2015.02.010
10.1016/j.fusengdes.2015.02.020,Pulse current electrodeposition of tungsten coatings on V–4Cr–4Ti alloy,Fan Jiang; Yingchun Zhang; Xuliang Li,2015,4,93,,30-35,,journal-article,,https://doi.org/10.1016/j.fusengdes.2015.02.020
10.1016/j.fusengdes.2015.03.019,Effects of LSP on micro-structures and residual stresses in a 4 mm CLAM steel weld joints,Xizhang Chen; Yuanyuan Fang; Shuyan Zhang; Joe F. Kelleher; Jianzhong Zhou,2015,5,94,,54-60,,journal-article,,https://doi.org/10.1016/j.fusengdes.2015.03.019
10.1016/j.fusengdes.2015.03.022,Analysis of a tungsten sputtering experiment in DIII-D and code/data validation of high redeposition/reduced erosion,J.N. Brooks; J.D. Elder; A.G. McLean; D.L. Rudakov; P.C. Stangeby; W.R. Wampler,2015,5,94,,67-71,,journal-article,,https://doi.org/10.1016/j.fusengdes.2015.03.022
10.1016/j.fusengdes.2015.02.059,RETRACTED: Microstructure study of alloy to enhance safety and reduce adverse environmental effects of future fusion power plants,M. Ghoranneviss; A. Salar Elahi,2015,5,94,,1-6,,journal-article,,https://doi.org/10.1016/j.fusengdes.2015.02.059
10.1016/j.fusengdes.2015.02.042,Microstructure and tensile properties of oxide strengthened ferritic steel fabricated using as-milled powders with dissolved oxygen,Liqing Huang; Zuming Liu; Wei Guo; Shiqi Chen; Qinglong Duan; Canxu Zhou; Mun Teng Soo,2015,6,95,,1-6,,journal-article,,https://doi.org/10.1016/j.fusengdes.2015.02.042
