title,authors,date,doi,url,article_type,open_access,description
Strong and ductile Resinvar alloys with temperature- and time-independent resistivity,Shuya Zhu; Dingshun Yan; Zhiming Li,2024-08-22,10.1038/s41467-024-51572-7,https://www.nature.com/articles/s41467-024-51572-7,,Yes,"Designing materials with temperature-independent electrical resistivity is difficult due to temperature-dependent electron-phonon scattering. Here, the authors achieve this in a strong and ductile alloy by tuning atomic-scale chemistry and structure."
Lightweight single-phase Al-based complex concentrated alloy with high specific strength,Mingliang Han; Yuan Wu; Z. P. Lu,2024-08-18,10.1038/s41467-024-51387-6,https://www.nature.com/articles/s41467-024-51387-6,,Yes,"By overcoming the limited solubility of other lighter components in aluminum using high pressure and high temperature, a low-density, high specific strength, and single-phase aluminum-based complex concentrated alloy is developed."
Grand canonically optimized grain boundary phases in hexagonal close-packed titanium,Enze Chen; Tae Wook Heo; Timofey Frolov,2024-08-15,10.1038/s41467-024-51330-9,https://www.nature.com/articles/s41467-024-51330-9,,Yes,"Grain boundaries strongly influence the properties of crystalline materials, but identifying their multiple phases remains difficult. Here, authors show a new tool for automated grain boundary structure prediction with an application to Ti."
Nacre-like surface nanolaminates enhance fatigue resistance of pure titanium,Yong Zhang; Chenyun He; Shan-Tung Tu,2024-08-12,10.1038/s41467-024-51423-5,https://www.nature.com/articles/s41467-024-51423-5,,Yes,"Most strategies to improve fatigue resistance address either crack initiation or growth. Here, the authors design a gradient-structured Ti with nacre-like surface nanolaminates that increase fatigue performance by suppressing both stages of cracking"
An order-disorder core-shell strategy for enhanced work-hardening capability and ductility in nanostructured alloys,Fenghui Duan; Qian Li; Jian Lu,2024-08-09,10.1038/s41467-024-50984-9,https://www.nature.com/articles/s41467-024-50984-9,,Yes,"Nanocrystalline metallic materials have the merit of high strength, but usually suffer from poor ductility and rapid grain coarsening. Here, the authors develop a nanocrystalline core-shell alloy to overcome these challenges."
Two-dimensional single-crystalline mesoporous high-entropy oxide nanoplates for efficient electrochemical biomass upgrading,Yanzhi Wang; Hangjuan He; Ben Liu,2024-08-08,10.1038/s41467-024-50721-2,https://www.nature.com/articles/s41467-024-50721-2,,Yes,The authors developed a facile template-free strategy to prepare 2D high-entropy oxide with single-crystallinity and penetrated mesoporosity. It achieves the simultaneous electrosynthesis of value-added FDCA and ammonia in a two-electrode cell.
Lattice distortion enabling enhanced strength and plasticity in high entropy intermetallic alloy,H. Wang; P. Y. Yang; Y. Yang,2024-08-08,10.1038/s41467-024-51204-0,https://www.nature.com/articles/s41467-024-51204-0,,Yes,"Intermetallics are traditionally characterised by their inherent brittleness due to a lack of sufficient slip systems and the absence of strain hardening. Here authors show that a single-phase distorted high entropy B2 intermetallic alloy displays notable strength and plasticity at room temperature, along with stable plastic flow at high homologous temperatures."
Continuous polyamorphic transition in high-entropy metallic glass,Yihuan Cao; Ming Yang; Zhaoping Lu,2024-08-07,10.1038/s41467-024-51080-8,https://www.nature.com/articles/s41467-024-51080-8,,Yes,"The understanding of polyamorphic transitions is of scientific and technological importance. Here, the authors report a continuous polyamorphic transition without first-order transition characteristics in high-entropy metallic glasses."
Ubiquitous short-range order in multi-principal element alloys,Ying Han; Hangman Chen; Yang Yang,2024-08-01,10.1038/s41467-024-49606-1,https://www.nature.com/articles/s41467-024-49606-1,,Yes,"Chemical short-range order&#xa0;(CSRO) has been explored as a new design parameter for tuning the performance of multi-principal element alloys (MPEAs), yet its formation kinetics remains unclear. Here the authors demonstrate that significant CSRO forms during solidification, making it ubiquitous in many MPEAs."
Periodic spinodal decomposition in double–strengthened medium–entropy alloy,Hyojin Park; Farahnaz Haftlang; Hyoung Seop Kim,2024-07-09,10.1038/s41467-024-50078-6,https://www.nature.com/articles/s41467-024-50078-6,,Yes,"Overcoming the strength-ductility trade-off in metallic alloys is a longstanding challenge. Here, the authors design a ferrous medium-entropy alloy to induce nanoscale spinodal decomposition, resulting in doubled strength without significant ductility loss."
How to catch a shear band and explain plasticity of metallic glasses with continuum mechanics,Oleksandr Glushko; Reinhard Pippan; Jürgen Eckert,2024-07-03,10.1038/s41467-024-49829-2,https://www.nature.com/articles/s41467-024-49829-2,,Yes,"The mechanisms of shear band initiation and propagation in amorphous metallic alloys is an open question of materials science. Here, the authors measure local strains around propagating shear bands and propose a model describing the plasticity of metallic glasses at different length scales."
"Additive manufacturing of an ultrastrong, deformable Al alloy with nanoscale intermetallics",Anyu Shang; Benjamin Stegman; Xinghang Zhang,2024-06-15,10.1038/s41467-024-48693-4,https://www.nature.com/articles/s41467-024-48693-4,,Yes,"Commercial high-strength Al alloys often suffer from cracking during additive manufacturing. Here, the authors present an additively manufactured, a strong and plastically deformable Al alloy with heterogeneous nanoscale intermetallics."
Mechanistic understanding of speciated oxide growth in high entropy alloys,Bharat Gwalani; Andrew Martin; Arun Devaraj,2024-06-12,10.1038/s41467-024-49243-8,https://www.nature.com/articles/s41467-024-49243-8,,Yes,"Understanding the intricate relationship between alloying elements and oxidation processes is essential for the integrity and performance of materials. Here, the authors study the effects of atomic size and redox potential to understand the oxidation process and structural changes in surface oxides."
Elastic strain-induced amorphization in high-entropy alloys,Yeqiang Bu; Yuan Wu; Wei Yang,2024-05-30,10.1038/s41467-024-48619-0,https://www.nature.com/articles/s41467-024-48619-0,,Yes,"Lattice stability related to the structural response is the basis for understanding mechanical and physical behavior of crystalline solids. Here, the authors show a manifestation of elastic instability in high-entropy alloys via elastic strain induced amorphization."
Low-frequency conductivity of low wear high-entropy alloys,Cheng-Hsien Yeh; Wen-Dung Hsu; Chuan-Feng Shih,2024-05-29,10.1038/s41467-024-49035-0,https://www.nature.com/articles/s41467-024-49035-0,,Yes,"The transport behavior of high-entropy alloys (HEAs) remains unclear. Here, the authors explore the fundamentals of low-wear and high-conductivity refractory HEAs, examining the cocktail effect in conductivity, and highlight its potential applications in enhancing atomic-scale image resolution."
The role of microstructure in the thermal fatigue of solder joints,J. W. Xian; Y. L. Xu; C. M. Gourlay,2024-05-20,10.1038/s41467-024-48532-6,https://www.nature.com/articles/s41467-024-48532-6,,Yes,"Thermal fatigue frequently leads to failure in electronic solder joints. Here, the authors measure and quantitatively explain how microstructure affects thermal fatigue in a ball grid array package and propose optimum microstructures for thermal fatigue resistance."
The origin of exceptionally large ductility in molybdenum alloys dispersed with irregular-shaped La2O3 nano-particles,Yujie Chen; Yan Fang; Qian Yu,2024-05-15,10.1038/s41467-024-48439-2,https://www.nature.com/articles/s41467-024-48439-2,,Yes,"Application of Molybdenum alloys is hindered by reduced ductility at lower temperatures. Here, the author shows improved ductility in a Mo alloy with irregular-shaped rare-earth La2O3 nanoparticles achieved via rotary-swaging, attributed to the amorphization of the oxide-matrix interface."
Overcoming strength-ductility tradeoff with high pressure thermal treatment,Yao Tang; Haikuo Wang; Haofei Zhou,2024-05-10,10.1038/s41467-024-48435-6,https://www.nature.com/articles/s41467-024-48435-6,,Yes,"Conventional material processing methods often suffer by strength-ductility trade-off. Here, the authors show high-pressure and high-temperature treatment can transform an eutectic high entropy alloy to having a hierarchical microstructure with simultaneous enhancements of strength and ductility."
Powder-size driven facile microstructure control in powder-fusion metal additive manufacturing&#xa0;processes,Shubham Chandra; Chengcheng Wang; Xipeng Tan,2024-04-11,10.1038/s41467-024-47257-w,https://www.nature.com/articles/s41467-024-47257-w,,Yes,"Achieving facile grain microstructure control in metal additive manufacturing is essential for its advancement. Here, the authors present a powder-size&#xa0;driven melt pool engineering approach to control the grain morphology demonstrated by laser directed energy deposition and electron beam powder-bed fusion&#xa0;processes."
Radionuclide tracing based in situ corrosion and mass transport monitoring of 316L stainless steel in a molten salt closed loop,Yafei Wang; Aeli P. Olson; Adrien Couet,2024-04-10,10.1038/s41467-024-47259-8,https://www.nature.com/articles/s41467-024-47259-8,,Yes,"In situ corrosion monitoring is essential to unveil corrosion mechanisms and safeguard materials’ health. Here, the authors develop a radionuclide tracing based in situ corrosion monitoring technique that can monitor corrosion attack depth and corrosion product transport in flowing molten salts."
Amorphous alloys surpass E/10 strength limit at extreme strain rates,Wenqing Zhu; Zhi Li; Xiaoding Wei,2024-02-26,10.1038/s41467-024-45472-z,https://www.nature.com/articles/s41467-024-45472-z,,Yes,"Magnitude of the ideal strength achievable in experiments for metals remains to be known. Here, the authors show that the spall strength of Cu50Zr50 amorphous alloy exceeds the E/10 limit at extreme strain rates, showing the void nucleation and growth as the primary failure mechanism."
Pore evolution mechanisms during directed energy deposition additive manufacturing,Kai Zhang; Yunhui Chen; Peter D. Lee,2024-02-24,10.1038/s41467-024-45913-9,https://www.nature.com/articles/s41467-024-45913-9,,Yes,"Porosity is a key issue in additive manufacturing (AM). Here, the authors reveal the bubble evolution mechanisms including formation, coalescence, pushing, growth, entrainment, escape, and entrapment during directed energy deposition AM using in situ X-ray imaging and multiphysics modelling."
Intrinsic factors responsible for brittle versus ductile nature of refractory high-entropy alloys,Tomohito Tsuru; Shu Han; Haruyuki Inui,2024-02-24,10.1038/s41467-024-45639-8,https://www.nature.com/articles/s41467-024-45639-8,,Yes,"Poor ductility is a major drawback of otherwise promising refractory high-entropy alloys (RHEAs) for ultrahigh temperature applications. Here, the authors show how ductility can be enhanced by adding HCP elements to BCC RHEAs, which is a relatively simple way to optimize mechanical properties."
General synthesis and atomic arrangement identification of ordered Bi–Pd intermetallics with tunable electrocatalytic CO2 reduction selectivity,Wenjin Guo; Guangfang Li; Rong Chen,2024-02-21,10.1038/s41467-024-46072-7,https://www.nature.com/articles/s41467-024-46072-7,,Yes,"Precise synthesis of Intermetallic compounds and understanding of the structure-performance correlation are highly desirable in catalysis. Here, the authors develop a general method to synthesize up to six BiPd intermetallic compounds and study the mechanism toward the electrocatalytic carbon dioxide reduction reaction."
Rejuvenation as the origin of planar defects in the CrCoNi medium entropy alloy,Yang Yang; Sheng Yin; Andrew M. Minor,2024-02-16,10.1038/s41467-024-45696-z,https://www.nature.com/articles/s41467-024-45696-z,,Yes,"High and medium-entropy alloys have shown excellent mechanical performance, yet the role of short-range order (SRO) on these properties has been unclear. Here, the authors demonstrate that the reduction of SRO by deformation leads to rejuvenation, explaining their remarkable damage tolerance."
